bond_length,layer,max_subspace_size,min_abs_error,n_configs_to_chem_acc,rhf_energy,uhf_energy,fci_energy
1.0,1,129,0.01183059623561844,,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
1.0,2,144,0.01183059623561622,,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
1.0,3,223,0.00047637716015591636,71.0,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
1.0,4,232,0.0003977572389444184,77.0,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
1.0,5,242,0.00034494197008205774,79.0,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
1.0,6,257,0.00028029207918978116,77.0,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
1.0,7,280,0.0002155403361068231,75.0,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
1.0,8,295,9.166439665531101e-05,89.0,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
1.0,9,300,0.00017038326716933838,75.0,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
1.0,10,304,0.00012570105420195432,75.0,-3.1355322139663215,-3.1369459346082875,-3.236066279892346
