bond_length_angstrom,rhf_energy_hartree,uhf_afm_energy_hartree,uhf_fm_energy_hartree,fci_energy_hartree
5.000000000000000000e-01,-1.628609703029900047e+00,-1.628609703029897382e+00,-1.628609703029900047e+00,-1.653116951940108770e+00
5.999999999999999778e-01,-1.929564248452011466e+00,-1.929564248451923536e+00,-1.929564248451980379e+00,-1.960193644893929221e+00
6.999999999999999556e-01,-2.069197422803866093e+00,-2.069197422803866981e+00,-2.069197422803866093e+00,-2.106996915095282308e+00
8.000000000000000444e-01,-2.121386755870220853e+00,-2.121386755867596285e+00,-2.121386755869385965e+00,-2.167560544134049749e+00
9.000000000000000222e-01,-2.124259738972777978e+00,-2.124259738965819100e+00,-2.124259738917027907e+00,-2.180316614323855706e+00
1.000000000000000000e+00,-2.098545936997718186e+00,-2.098545936998031713e+00,-2.098545936998004180e+00,-2.166387448634762514e+00
1.100000000000000089e+00,-2.056024905834111571e+00,-2.059039301450297899e+00,-2.059039301730464011e+00,-2.137970526843623098e+00
1.200000000000000178e+00,-2.003867483120586712e+00,-2.020745513997042053e+00,-2.020745513989108844e+00,-2.102608480955423964e+00
1.300000000000000044e+00,-1.946741626434402184e+00,-1.986198481751292766e+00,-1.986198481751298983e+00,-2.065228963271287022e+00
1.399999999999999911e+00,-1.887790304484054493e+00,-1.956661663745469015e+00,-1.828022492218073891e+00,-2.029070493591961899e+00
1.500000000000000000e+00,-1.829137412352685121e+00,-1.932738358145853041e+00,-1.822319536487237546e+00,-1.996150325518808000e+00
1.600000000000000089e+00,-1.772203101804906922e+00,-1.914267156336865838e+00,-1.828173955323653566e+00,-1.967560309920373562e+00
1.700000000000000178e+00,-1.717918014900593260e+00,-1.900517086178789672e+00,-1.836060568210955424e+00,-1.943692038688120682e+00
1.800000000000000044e+00,-1.666867161183873014e+00,-1.890533959701715672e+00,-1.843170908499395688e+00,-1.924430638136722882e+00
1.900000000000000133e+00,-1.619384462916655831e+00,-1.883400452961125904e+00,-1.848998672075672367e+00,-1.909332060042634449e+00
2.000000000000000000e+00,-1.575616476701866109e+00,-1.878351837884784992e+00,-1.853566267612647422e+00,-1.897780645989873616e+00
2.100000000000000089e+00,-1.535569130698006379e+00,-1.874797252870428199e+00,-1.857050808676592002e+00,-1.889114874713939685e+00
2.200000000000000178e+00,-1.499145625034858487e+00,-1.872299659930991123e+00,-1.859659288016695111e+00,-1.882712637431846581e+00
2.299999999999999822e+00,-1.466178825294962795e+00,-1.870544311266897797e+00,-1.861583489593217955e+00,-1.878037044964906421e+00
2.400000000000000355e+00,-1.436458539989678762e+00,-1.869308378562898110e+00,-1.862985516344433989e+00,-1.874651582485895585e+00
2.500000000000000000e+00,-1.409752996702119621e+00,-1.868435829234041279e+00,-1.863995847015273100e+00,-1.872215994424115681e+00
2.600000000000000089e+00,-1.385824114811525121e+00,-1.867818081689903931e+00,-1.864716364106033364e+00,-1.870472736420942805e+00
2.700000000000000178e+00,-1.364437027235180455e+00,-1.867379726365578918e+00,-1.865224981350069200e+00,-1.869230673095236384e+00
2.800000000000000266e+00,-1.345365077071477122e+00,-1.867068292421570019e+00,-1.865580362959073257e+00,-1.868349707685121652e+00
2.900000000000000355e+00,-1.328391861736496260e+00,-1.866847080271599957e+00,-1.865826119478195100e+00,-1.867727898971216938e+00
3.000000000000000000e+00,-1.313311786221487365e+00,-1.866690231217767115e+00,-1.865994298463187873e+00,-1.867291372401375549e+00
3.100000000000000089e+00,-1.299930180626938547e+00,-1.866579378228148567e+00,-1.866108185267760788e+00,-1.866986733469328197e+00
3.200000000000000178e+00,-1.288063547330960734e+00,-1.866501383092823207e+00,-1.866184503580293086e+00,-1.866775488868312127e+00
3.300000000000000266e+00,-1.277540091920077003e+00,-1.866446802783738868e+00,-1.866235120661057678e+00,-1.866629982575627622e+00
3.400000000000000355e+00,-1.268200435494346578e+00,-1.866408837812797428e+00,-1.866268353727477125e+00,-1.866530438129551550e+00
3.500000000000000000e+00,-1.259898304803666269e+00,-1.866382598047556796e+00,-1.866289959030896339e+00,-1.866462798719233041e+00
3.600000000000000089e+00,-1.252501008003973570e+00,-1.866364579849523864e+00,-1.866303870813667665e+00,-1.866417143835770176e+00
3.700000000000000178e+00,-1.245889575490889190e+00,-1.866352287255625964e+00,-1.866312745270310991e+00,-1.866386526727302098e+00
3.800000000000000266e+00,-1.239958521884352294e+00,-1.866343954422903018e+00,-1.866318354649208811e+00,-1.866366122436665442e+00
3.900000000000000355e+00,-1.234615266351594798e+00,-1.866338341394063738e+00,-1.866321868146657126e+00,-1.866352606804401182e+00
4.000000000000000000e+00,-1.229779276655423192e+00,-1.866334584089391457e+00,-1.866324048888710285e+00,-1.866343707499156901e+00
