timestamp,device,molecule,bond length,uhf seed,number of shots,batches,top measured bitstring,top simulated bitstring
20260130-214505,Garnet,H4,4.0,ferromagnetic,10000,1,10010110,01010101
20260130-222614,Garnet,H4,1.5,antiferromagnetic,10000,1,00110011,00110011
20260130-222619,Garnet,H4,1.5,ferromagnetic,10000,1,01010101,01010101
20260130-214503,Garnet,H4,4.0,antiferromagnetic,10000,1,00110011,00110011
20260130-222752,Garnet,H4,2.0,ferromagnetic,10000,1,01010101,01010101
20260130-222746,Garnet,H4,2.0,antiferromagnetic,10000,1,00110011,00110011
20260130-221944,Emerald,H6,2.0,ferromagnetic,10000,1,010101010101,010101010101
20260130-221942,Emerald,H6,2.0,antiferromagnetic,10000,1,000111000111,000111000111
20260130-221822,Garnet,H6,2.0,antiferromagnetic,10000,1,000111000111,000111000111
20260130-221825,Garnet,H6,2.0,ferromagnetic,10000,1,010101010101,010101010101
20260130-203639,Ankaa-3,H4,4.0,ferromagnetic,10000,1,01100011,01010101
20260130-212055,Ankaa-3,H4,4.0,ferromagnetic,10000,1,01100101,01010101
20260130-212051,Ankaa-3,H4,4.0,antiferromagnetic,10000,1,01010001,00110011
20260130-203635,Ankaa-3,H4,4.0,antiferromagnetic,10000,1,01010101,00110011
20260130-222157,Ankaa-3,H4,2.0,ferromagnetic,10000,1,01010111,01010101
20260130-222226,Ankaa-3,H4,1.5,ferromagnetic,10000,1,01010110,01010101
20260130-222152,Ankaa-3,H4,2.0,antiferromagnetic,10000,1,00110011,00110011
20260130-191221,Ankaa-3,H4,4.0,ferromagnetic,100,1,01100011,01010101
20260130-222223,Ankaa-3,H4,1.5,antiferromagnetic,10000,1,00110011,00110011
20260130-191216,Ankaa-3,H4,4.0,antiferromagnetic,100,1,00110111,00110011
20260130-222638,Emerald,H4,1.5,ferromagnetic,10000,1,01010101,01010101
20260130-222636,Emerald,H4,1.5,antiferromagnetic,10000,1,00110011,00110011
20260130-222805,Emerald,H4,2.0,antiferromagnetic,10000,1,00110011,00110011
20260130-213415,Emerald,H4,4.0,antiferromagnetic,10000,1,11000011,00110011
20260130-222808,Emerald,H4,2.0,ferromagnetic,10000,1,01010101,01010101
20260130-213418,Emerald,H4,4.0,ferromagnetic,10000,1,01101010,01010101
20260130-212355,Forte 1,H4,4.0,ferromagnetic,10000,10,01101100,01010101
20260130-222958,Forte 1,H4,2.0,antiferromagnetic,10000,10,01010101,00110011
20260130-222436,Forte 1,H4,1.5,antiferromagnetic,10000,10,01010101,00110011
20260130-222513,Forte 1,H4,1.5,ferromagnetic,10000,10,01100110,01010101
20260130-212325,Forte 1,H4,4.0,antiferromagnetic,10000,10,01100101,00110011
20260130-223029,Forte 1,H4,2.0,ferromagnetic,10000,10,01100110,01010101
20260130-215923,Ankaa-3,H4,2.0,ferromagnetic,10000,1,101010000001,010101010101
20260130-215918,Ankaa-3,H4,2.0,antiferromagnetic,10000,1,001011001011,000111000111
20260130-220739,Forte 1,H6,2.0,antiferromagnetic,4700,10,001101000111,000111000111
20260130-220814,Forte 1,H6,2.0,ferromagnetic,4700,10,010011010011,010101010101
